Experiment	Z spectroscopy	
Saved Date	16.02.2019 17:38:38	
User		
X (m)	75.834E-9	
Y (m)	15.3776E-9	
Z (m)	-16.9806E-9	
Z offset (m)	700E-12	
Z sweep distance (m)	1.12E-9	
Settling time (s)	10E-3	
Integration time (s)	60E-3	
Final Z (m)	N/A	
Start time	16.02.2019 17:37:03	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Current (A)	Bias (V)	Z (m)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC M1 Excitation (V)	Current [bwd] (A)	Bias [bwd] (V)	Z [bwd] (m)	OC D1 Phase [bwd] (deg)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)	OC M1 Excitation [bwd] (V)
578.79762E-12	-239.13412E-15	0.0000000E+0	-16.401781E-9	1.3307841E+0	48.922231E-12	-40.020373E-3	218.34174E-6	-231.17855E-15	0.0000000E+0	-16.401781E-9	-6.7912679E+0	46.346531E-12	-642.76993E-3	204.81918E-6
576.55314E-12	-232.28657E-15	0.0000000E+0	-16.404025E-9	-4.0502105E+0	55.542519E-12	-576.05565E-3	132.51849E-6	-225.19451E-15	0.0000000E+0	-16.404025E-9	-2.2439318E+0	43.729534E-12	-145.27522E-3	217.92480E-6
574.30860E-12	-247.79159E-15	0.0000000E+0	-16.406270E-9	-239.74827E-3	47.671520E-12	-276.21150E-3	209.56868E-6	-240.99990E-15	0.0000000E+0	-16.406270E-9	3.3133984E+0	52.843119E-12	303.26018E-3	112.81055E-6
572.06412E-12	-214.29261E-15	0.0000000E+0	-16.408514E-9	3.5232856E+0	57.291373E-12	96.635163E-3	100.96305E-6	-226.56149E-15	0.0000000E+0	-16.408514E-9	-383.61824E-3	52.156803E-12	-59.489235E-3	127.95544E-6
569.81964E-12	-239.83940E-15	0.0000000E+0	-16.410759E-9	950.18613E-3	51.410241E-12	-39.883915E-3	147.25230E-6	-236.00078E-15	0.0000000E+0	-16.410759E-9	-576.68698E-3	53.111113E-12	-64.610414E-3	131.13522E-6
567.57515E-12	-210.09949E-15	0.0000000E+0	-16.413004E-9	-2.9610813E+0	52.476943E-12	-404.95408E-3	127.36995E-6	-248.09874E-15	0.0000000E+0	-16.413004E-9	-2.9996772E+0	50.163415E-12	-251.59037E-3	161.82178E-6
565.33067E-12	-230.81764E-15	0.0000000E+0	-16.415248E-9	-3.0761192E+0	55.012508E-12	-515.84518E-3	80.741636E-6	-217.11624E-15	0.0000000E+0	-16.415248E-9	197.28620E-3	48.610192E-12	89.520060E-3	177.76500E-6
563.08619E-12	-225.20298E-15	0.0000000E+0	-16.417493E-9	2.0439353E+0	50.090959E-12	-34.785785E-3	129.43498E-6	-239.45692E-15	0.0000000E+0	-16.417493E-9	3.9057465E+0	47.313636E-12	348.77127E-3	185.97607E-6
560.84171E-12	-227.34291E-15	0.0000000E+0	-16.419737E-9	-926.84627E-3	46.384858E-12	-238.23738E-3	178.79509E-6	-243.70209E-15	0.0000000E+0	-16.419737E-9	5.0971785E+0	54.651519E-12	346.45307E-3	102.55352E-6
558.59717E-12	-204.36550E-15	0.0000000E+0	-16.421982E-9	-3.4293623E+0	51.766556E-12	-537.25773E-3	123.48445E-6	-228.10530E-15	0.0000000E+0	-16.421982E-9	1.9758216E+0	51.236758E-12	-45.795940E-3	158.64952E-6
556.35274E-12	-241.69501E-15	0.0000000E+0	-16.424226E-9	3.8444867E+0	49.146704E-12	114.24544E-3	146.68063E-6	-255.98493E-15	0.0000000E+0	-16.424226E-9	-827.41386E-3	44.825175E-12	-279.40011E-3	218.67946E-6
554.10820E-12	-246.15341E-15	0.0000000E+0	-16.426471E-9	-2.8191471E+0	48.305880E-12	-403.83217E-3	164.30279E-6	-247.50940E-15	0.0000000E+0	-16.426471E-9	-1.0281142E+0	45.348846E-12	-273.14234E-3	197.02023E-6
551.86372E-12	-227.81381E-15	0.0000000E+0	-16.428714E-9	2.4746094E+0	53.382222E-12	19.036895E-3	109.81094E-6	-250.64144E-15	0.0000000E+0	-16.428714E-9	1.3826143E+0	50.098255E-12	-68.911739E-3	135.85674E-6
549.61924E-12	-226.45698E-15	0.0000000E+0	-16.430960E-9	3.5997758E+0	51.050397E-12	219.31042E-3	125.40474E-6	-230.01593E-15	0.0000000E+0	-16.430960E-9	1.1893616E+0	49.542689E-12	-115.90029E-3	145.08587E-6
547.37476E-12	-226.87117E-15	0.0000000E+0	-16.433203E-9	-213.29007E-3	49.530713E-12	-45.350373E-3	136.94717E-6	-244.43148E-15	0.0000000E+0	-16.433203E-9	-3.7989581E+0	43.368413E-12	-512.57014E-3	198.71441E-6
545.13027E-12	-225.84944E-15	0.0000000E+0	-16.435449E-9	2.6949389E+0	44.416512E-12	233.81719E-3	211.06152E-6	-237.14608E-15	0.0000000E+0	-16.435449E-9	-3.2353699E+0	49.844642E-12	-350.35494E-3	113.10301E-6
542.88579E-12	-231.19462E-15	0.0000000E+0	-16.437692E-9	1.9703435E+0	52.056675E-12	217.87980E-3	134.66357E-6	-233.65354E-15	0.0000000E+0	-16.437692E-9	-3.7881310E+0	51.051767E-12	-347.38469E-3	109.34978E-6
540.64131E-12	-238.13015E-15	0.0000000E+0	-16.439937E-9	2.4555745E+0	51.619539E-12	317.90531E-3	129.45813E-6	-224.60559E-15	0.0000000E+0	-16.439937E-9	5.6319599E+0	53.112556E-12	499.46555E-3	93.549046E-6
538.39677E-12	-231.36384E-15	0.0000000E+0	-16.442183E-9	-6.3897958E+0	45.318117E-12	-507.42257E-3	205.55779E-6	-248.82177E-15	0.0000000E+0	-16.442183E-9	-2.4267182E+0	45.897428E-12	-271.34296E-3	171.56178E-6
536.15234E-12	-232.66228E-15	0.0000000E+0	-16.444426E-9	-4.8045325E+0	50.251893E-12	-525.44177E-3	160.46973E-6	-229.09655E-15	0.0000000E+0	-16.444426E-9	-973.76204E-3	51.483588E-12	-117.91161E-3	98.774733E-6
533.90781E-12	-227.87683E-15	0.0000000E+0	-16.446672E-9	-4.8448768E+0	49.314750E-12	-723.50341E-3	172.14105E-6	-247.93416E-15	0.0000000E+0	-16.446672E-9	2.1558762E+0	49.744275E-12	134.10647E-3	118.36556E-6
531.66332E-12	-237.70157E-15	0.0000000E+0	-16.448915E-9	2.8798265E+0	50.355390E-12	-55.086687E-3	157.60714E-6	-227.60648E-15	0.0000000E+0	-16.448915E-9	1.4859928E+0	54.944955E-12	29.073680E-3	72.415110E-6
529.41884E-12	-239.72897E-15	0.0000000E+0	-16.451160E-9	-1.5701016E+0	48.309436E-12	-453.96960E-3	184.63284E-6	-242.90544E-15	0.0000000E+0	-16.451160E-9	4.2042003E+0	54.750954E-12	172.80576E-3	99.927929E-6
527.17436E-12	-246.35057E-15	0.0000000E+0	-16.453404E-9	3.8087521E+0	54.252866E-12	58.173232E-3	113.10152E-6	-242.63382E-15	0.0000000E+0	-16.453404E-9	2.9108491E+0	51.514102E-12	5.7630083E-3	139.89910E-6
524.92988E-12	-223.14088E-15	0.0000000E+0	-16.455649E-9	1.7934301E+0	49.584031E-12	-23.499096E-3	151.67818E-6	-235.22276E-15	0.0000000E+0	-16.455649E-9	422.04487E-3	50.366968E-12	-328.50134E-3	158.57925E-6
522.68539E-12	-236.95144E-15	0.0000000E+0	-16.457893E-9	-529.79338E-3	47.539681E-12	-172.04082E-3	180.84311E-6	-218.04576E-15	0.0000000E+0	-16.457893E-9	-2.0758336E+0	54.643901E-12	-494.07831E-3	119.16739E-6
520.44091E-12	-202.86992E-15	0.0000000E+0	-16.460138E-9	-4.9011111E+0	43.957473E-12	-650.97654E-3	236.73632E-6	-231.70230E-15	0.0000000E+0	-16.460138E-9	2.4224434E+0	53.680282E-12	-84.690973E-3	146.11069E-6
